Index,Unlisted
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,1
109,0
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,0
240,1
241,0
242,1
243,1
244,0
245,1
246,0
247,0
248,1
249,0
250,0
251,1
252,1
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,0
350,1
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,1
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,1
409,1
410,0
411,1
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,1
428,0
429,0
430,0
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,1
456,0
457,0
458,0
459,0
460,1
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,0
473,0
474,0
475,0
476,1
477,1
478,1
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,1
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,1
505,0
506,1
507,0
508,1
509,1
510,0
511,1
512,0
513,1
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,1
524,0
525,0
526,0
527,1
528,0
529,1
530,0
531,1
532,0
533,0
534,0
535,1
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,0
556,1
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,1
581,0
582,1
583,0
584,1
585,1
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,1
611,0
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,1
621,1
622,0
623,0
624,0
625,1
626,0
627,1
628,1
629,1
630,0
631,1
632,0
633,0
634,0
635,0
636,0
637,1
638,1
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,1
666,0
667,0
668,0
669,1
670,0
671,1
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,0
682,0
683,1
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
